"","folder","pop","picname","Body_weight.g.","Total_length.mm.","Standard_length.mm.","cal"
"207","MKZ","MKZ","20170913008_L",188,291.68,235.49,386
"208","MKZ","MKZ","20170913009_L",94.4,231,189.48,386
"209","MKZ","MKZ","20170913010_L",84.2,223.92,178.2,386
"210","MKZ","MKZ","20170913011_L",87.4,217.37,179.88,386
"211","MKZ","MKZ","20170913012_L",104.1,221.7,174.51,386
"212","MKZ","MKZ","20170913013_L",104.9,225.93,191.44,386
"213","MKZ","MKZ","20170913014_L",68.4,204.48,163.43,386
"214","MKZ","MKZ","20170913015_L",67.4,205.59,163.39,386
"215","MKZ","MKZ","20170913016_L",54.3,181.75,150.03,386
"216","MKZ","MKZ","20170913017_L",51.4,180.5,149.94,386
"217","MKZ","MKZ","20170913018_L",47.1,179.16,146.53,386
"218","MKZ","MKZ","20170913019_L",54.8,187.22,151.4,386
"219","MKZ","MKZ","20170913020_L",47.2,181.13,144.17,386
"220","MKZ","MKZ","20170913021_L",42.4,178.52,141.32,386
"221","MKZ","MKZ","20170913022_L",45.5,173.86,136.5,386
"222","MKZ","MKZ","20170913023_R",48.8,175.33,138.99,386
"223","MKZ","MKZ","20170913024_L",51.5,184.33,145.29,386
"224","MKZ","MKZ","20170913025_L",38.9,171.2,135.26,386
"225","MKZ","MKZ","20170913026_L",46,174.61,141.14,386
"226","MKZ","MKZ","20170913027_L",40.8,174.78,136.74,386
"227","MKZ","MKZ","20170913028_R",42.5,175.65,143.44,386
"228","MKZ","MKZ","20170913029_L",47.9,174.82,139.95,386
"229","MKZ","MKZ","20170913030_L",46.4,170.07,138.18,386
"230","MKZ","MKZ","20170913031_L",42.1,173.57,137.82,386
"231","MKZ","MKZ","20170913032_L",36.7,169.07,135.18,386
"232","MKZ","MKZ","20170913033_R",33.7,161.21,130.62,386
"233","MKZ","MKZ","20170913034_L",33.6,159.58,129.64,386
"234","MKZ","MKZ","20170913035_L",28.9,152.12,120.46,386
"235","MKZ","MKZ","20170913036_L",22,135.99,108.95,386
"236","MKZ","MKZ","20170913037_L",27.2,140.92,114.41,386
"237","MKZ","MKZ","20170913038_L",23.6,133.4,109.64,386
"238","MKZ","MKZ","20170913039_L",14.5,114.44,91.35,386
"239","MKZ","MKZ","20170913040_L",18.1,126.19,101.35,386
"240","MKZ","MKZ","20170913041_L",15.1,116.27,91.95,386
"241","MKZ","MKZ","20170913043_L",9.9,106.18,84.19,386
"242","MKZ","MKZ","20170913044_L",10.1,101.63,81.97,386
"243","MKZ","MKZ","20170913045_L",9.3,99.37,82.75,386
"244","MKZ","MKZ","20170913046_L",11.1,104.8,85,386
"245","MKZ","MKZ","20170913047_L",9.6,101.89,81.97,386
"246","MKZ","MKZ","20170913048_L",10.8,104.18,85.1,386
"247","MKZ","MKZ","20170913049_L",10.5,101.84,79.19,386
"248","MKZ","MKZ","20170913050_L",11.8,103.12,84.93,386
"249","MKZ","MKZ","20170913051_L",11.3,106.58,84.43,386
"250","MKZ","MKZ","20170913052_L",11.1,106.27,85.78,386
"251","MKZ","MKZ","20170913053_L",10.5,98.92,81.48,386
"252","MKZ","MKZ","20170913054_L",7.1,88.55,70.25,386
"253","MKZ","MKZ","20170913055_L",8.1,93.17,76.66,386
"254","MKZ","MKZ","20170913057_L",10.7,100.61,80.08,386
"255","MKZ","MKZ","20170913058_L",9.6,97.37,79.35,386
"256","MKZ","MKZ","20170913059_L",7.8,95.28,75.03,386
"257","MKZ","MKZ","20170913060_L",7.9,92.39,73.32,386
"258","MKZ","MKZ","20170913061_L",8.3,89.97,72.2,386
"259","MKZ","MKZ","20170913062_L",11.5,105.92,86.36,386
"260","MKZ","MKZ","20170913063_L",11.5,111.88,87.6,386
"261","MKZ","MKZ","20170913064_L",12.9,104.25,80.04,386
"262","MKZ","MKZ","20170913065_L",8.9,96.69,78.49,386
"263","MKZ","MKZ","20170913066_L",8.7,96.29,75.13,386
