Abbreviation,Number,BW,TL,SL
ZYZ,20170811033,32.6,151.85,120.09
ZYZ,20170811034,29.5,148.59,122.02
ZYZ,20170811035,33.9,156.25,128.29
ZYZ,20170811036,30.8,152.48,116.98
ZYZ,20170811037,28.9,154.71,123.15
ZYZ,20170811038,32.2,160.56,127.4
ZYZ,20170811039,28.5,153.52,118.55
ZYZ,20170811040,24.7,140.33,111.5
ZYZ,20170811041,30.3,158.43,128.12
ZYZ,20170811042,19.5,133.14,102.49
ZYZ,20170811043,25.9,136.79,112.57
ZYZ,20170811044,19.3,133.36,105.12
ZYZ,20170811045,19.9,130.32,106.08
ZYZ,20170811046,15.4,119.66,94.31
ZYZ,20170811047,18.7,132.95,106.26
ZYZ,20170811048,20.1,131.29,106.31
ZYZ,20170811049,20.7,140.8,109.67
ZYZ,20170811050,19,126.62,105.12
ZYZ,20170811051,21.5,132.27,105.14
ZYZ,20170811052,13.9,113.62,94.52
ZYZ,20170811053,17.5,118.9,99.28
ZYZ,20170811054,16.6,122.5,100.78
ZYZ,20170811055,13.6,109.21,90.89
ZYZ,20170811056,18.2,125.16,103.54
ZYZ,20170811057,18.3,129.87,104.16
ZYZ,20170811058,13.4,107.77,96.01
ZYZ,20170811059,12.4,113.21,92.77
ZYZ,20170811060,16.4,126.51,103.8
ZYZ,20170811061,13.6,114.47,94.47
ZYZ,20170811062,13.4,111.13,90.9
ZYZ,20170811063,13.4,118.51,96.79
ZYZ,20170811064,15.5,118.44,100.61
ZYZ,20170811065,16.9,114.08,94.04
ZYZ,20170811066,12.4,116.29,92.78
ZYZ,20170811067,15.7,129.34,102.71
