Site,ID,standard.length,relative.otolith.area,relative.otolith.length,relative.otolith.width,relative.otolith.perimeter,Aspect ratio,Rectangularity,Roundness,Form factor,Ellipticity,Circularity,Altitude,Average river gradient,Latitude,Annual average temperature
CWLZ,170513071,149.79,2.029422281,1.893902172,1.390802377,5.531685719,1.361733488,0.770458867,0.72038964,0.833426475,0.153164398,15.07795947,1700,12.1571,28,11.9
CWLZ,170513073,170.23,1.915991827,1.793155818,1.383793472,5.119879351,1.295826187,0.772154746,0.758695855,0.918510366,0.128853913,13.68125072,1700,12.1571,28,11.9
CWLZ,170513075,157.21,2.109428242,1.881137994,1.437023398,5.448196983,1.30905175,0.780333518,0.75898565,0.893036105,0.133843579,14.07151463,1700,12.1571,28,11.9
CWLZ,170513076,157.7,1.886752715,1.777919558,1.42028478,5.135876697,1.251804978,0.747183793,0.759977767,0.898867484,0.111823617,13.98022605,1700,12.1571,28,11.9
CWLZ,170513078,156.04,2.213079859,1.938514572,1.485363014,5.56909781,1.305077987,0.768591204,0.749840795,0.896679537,0.132350397,14.01433857,1700,12.1571,28,11.9
CWLZ,170513079,159.89,1.991791118,1.78295964,1.405428205,5.319618082,1.268623779,0.794865439,0.797757481,0.884489636,0.118408253,14.20748204,1700,12.1571,28,11.9
CWLZ,170513080,167.34,1.761285238,1.709310062,1.302208055,4.968094011,1.312624396,0.791276866,0.767534871,0.896726385,0.135181656,14.01360641,1700,12.1571,28,11.9
CWLZ,170513084,185.12,2.025681352,1.859129282,1.442865798,5.279705889,1.288497714,0.755154127,0.746211721,0.913190812,0.126064235,13.76094727,1700,12.1571,28,11.9
CWLZ,170513085,162.53,1.720372859,1.736562227,1.33123363,4.935340077,1.30447593,0.744179928,0.726360135,0.887561139,0.132123719,14.15831548,1700,12.1571,28,11.9
CWLZ,170513087,162.1,1.803876157,1.789006516,1.278502546,5.048391954,1.39929836,0.788666146,0.717617452,0.88942729,0.16642297,14.12860923,1700,12.1571,28,11.9
CWLZ,170513088,165.46,1.832654117,1.693650733,1.370440737,5.008579483,1.235843833,0.789580461,0.813472576,0.91803921,0.105483142,13.68827222,1700,12.1571,28,11.9
CWLZ,170513089,154.28,2.062594072,1.778366869,1.482699129,5.302496176,1.199411826,0.782238836,0.830388194,0.921855606,0.090665979,13.63160405,1700,12.1571,28,11.9
CWLZ,170513091,153.31,2.289650266,2.015729158,1.474566926,5.691419301,1.366997403,0.770322324,0.717488449,0.888255387,0.155047658,14.14724953,1700,12.1571,28,11.9
CWLZ,170513093,185.67,1.923393106,1.819983365,1.391322609,5.210750803,1.308095875,0.759578729,0.739338525,0.890178931,0.133484869,14.11667945,1700,12.1571,28,11.9
